transaction_id,user_id,product_id,quantity,price,transaction_date,channel,inventory
1,1001,P100,2,49.99,2024-07-25,Email,30
2,1002,P101,1,15.99,2024-07-25,Organic,22
3,1003,P103,3,23.50,2024-07-26,Paid Ads,44
4,1001,P102,1,9.99,2024-07-26,Email,18
5,1004,P104,2,59.00,2024-07-27,Referral,25
6,1002,P100,1,49.99,2024-07-27,Organic,28
7,1005,P105,5,10.00,2024-07-27,Direct,13
8,1006,P103,1,23.50,2024-07-28,Paid Ads,41
9,1007,P104,1,59.00,2024-07-28,Referral,21
10,1008,P106,2,99.00,2024-07-29,Social,12
11,1003,P100,2,49.99,2024-07-29,Direct,27
12,1009,P107,4,12.99,2024-07-29,Email,38
13,1010,P101,1,15.99,2024-07-30,Organic,20
14,1001,P102,2,9.99,2024-07-30,Social,14
15,1002,P106,1,99.00,2024-07-31,Paid Ads,9
16,1003,P104,1,59.00,2024-07-31,Referral,20
17,1007,P103,3,23.50,2024-07-31,Direct,37
18,1011,P100,2,49.99,2024-08-01,Organic,22
19,1012,P105,1,10.00,2024-08-01,Paid Ads,11
20,1010,P107,2,12.99,2024-08-01,Email,36
21,1013,P100,1,49.99,2024-08-01,Social,20
22,1014,P103,2,23.50,2024-08-02,Referral,35
23,1015,P106,1,99.00,2024-08-02,Organic,10
24,1006,P101,3,15.99,2024-08-02,Email,17
25,1004,P102,2,9.99,2024-08-02,Paid Ads,12
26,1005,P107,1,12.99,2024-08-02,Direct,33
27,1016,P104,1,59.00,2024-08-02,Referral,19
28,1017,P105,2,10.00,2024-08-03,Email,15
29,1007,P106,1,99.00,2024-08-03,Social,7
30,1012,P100,3,49.99,2024-08-03,Organic,17
31,1009,P103,1,23.50,2024-08-03,Paid Ads,29
32,1008,P107,2,12.99,2024-08-03,Referral,27
33,1010,P101,2,15.99,2024-08-03,Direct,14
34,1002,P104,4,59.00,2024-08-04,Email,16
35,1005,P105,3,10.00,2024-08-04,Organic,10
36,1011,P100,2,49.99,2024-08-04,Social,17
37,1013,P102,1,9.99,2024-08-04,Referral,8
38,1001,P107,5,12.99,2024-08-04,Paid Ads,31
39,1017,P104,2,59.00,2024-08-04,Direct,15
40,1014,P103,2,23.50,2024-08-04,Social,28
41,1015,P101,1,15.99,2024-08-05,Email,13
42,1016,P100,1,49.99,2024-08-05,Referral,14
43,1012,P105,2,10.00,2024-08-05,Paid Ads,6
44,1004,P102,3,9.99,2024-08-05,Organic,12
45,1006,P104,1,59.00,2024-08-05,Social,16
46,1003,P106,1,99.00,2024-08-05,Direct,7
47,1010,P107,1,12.99,2024-08-05,Referral,27
48,1011,P101,2,15.99,2024-08-05,Email,15
49,1002,P100,1,49.99,2024-08-06,Social,8
50,1005,P103,3,23.50,2024-08-06,Organic,23
51,1014,P104,2,59.00,2024-08-06,Paid Ads,14
52,1015,P105,1,10.00,2024-08-06,Direct,7
53,1012,P107,2,12.99,2024-08-06,Referral,25
54,1001,P100,3,49.99,2024-08-06,Email,9
55,1004,P101,1,15.99,2024-08-06,Social,13
56,1010,P102,2,9.99,2024-08-06,Paid Ads,10
57,1007,P104,1,59.00,2024-08-06,Referral,16
58,1009,P105,3,10.00,2024-08-06,Direct,9
59,1011,P106,2,99.00,2024-08-06,Social,3
60,1013,P107,4,12.99,2024-08-06,Organic,29
61,1016,P100,2,49.99,2024-08-07,Email,10
62,1002,P101,2,15.99,2024-08-07,Referral,12
63,1008,P103,1,23.50,2024-08-07,Paid Ads,18
64,1015,P104,1,59.00,2024-08-07,Direct,14
65,1006,P105,2,10.00,2024-08-07,Organic,7
66,1004,P107,1,12.99,2024-08-07,Social,23
67,1007,P100,1,49.99,2024-08-07,Referral,5
68,1014,P101,3,15.99,2024-08-07,Direct,9
69,1013,P104,2,59.00,2024-08-08,Paid Ads,17
70,1011,P105,1,10.00,2024-08-08,Email,2
71,1009,P100,2,49.99,2024-08-08,Referral,7
72,1003,P101,2,15.99,2024-08-08,Organic,8
73,1017,P103,1,23.50,2024-08-08,Social,15
74,1008,P104,2,59.00,2024-08-08,Paid Ads,10
75,1012,P105,3,10.00,2024-08-08,Referral,6
76,1005,P106,1,99.00,2024-08-08,Direct,2
77,1010,P107,2,12.99,2024-08-08,Email,18
78,1006,P100,2,49.99,2024-08-08,Social,12
79,1001,P104,1,59.00,2024-08-08,Paid Ads,8
80,1015,P103,2,23.50,2024-08-09,Direct,19
81,1002,P101,1,15.99,2024-08-09,Referral,7
82,1013,P105,2,10.00,2024-08-09,Organic,8
83,1004,P107,1,12.99,2024-08-09,Social,12
84,1007,P100,1,49.99,2024-08-09,Email,4
85,1005,P101,3,15.99,2024-08-09,Referral,5
86,1016,P104,2,59.00,2024-08-09,Paid Ads,7
87,1008,P105,1,10.00,2024-08-09,Direct,3
88,1010,P106,1,99.00,2024-08-09,Social,4
89,1012,P107,3,12.99,2024-08-09,Referral,11
90,1001,P100,2,49.99,2024-08-10,Organic,7
91,1015,P101,2,15.99,2024-08-10,Email,3
92,1003,P102,1,9.99,2024-08-10,Social,7
93,1006,P104,2,59.00,2024-08-10,Referral,12
94,1013,P105,2,10.00,2024-08-10,Direct,4
95,1017,P107,1,12.99,2024-08-10,Email,9
96,1007,P100,1,49.99,2024-08-10,Referral,3
97,1010,P101,2,15.99,2024-08-10,Paid Ads,6
98,1009,P103,3,23.50,2024-08-10,Social,10
99,1012,P104,1,59.00,2024-08-10,Direct,7
100,1004,P106,2,99.00,2024-08-10,Organic,2
